Name,Year,Theme,Pieces,USD_MSRP,Current_Price
Minotaurus,2009,Games,211.0,24.99,50.0
Ramses Pyramid ,2009,Games,217.0,29.99,38.88
Creationary ,2009,Games,338.0,34.99,40.0
Thomas at Morgan's Mine,2009,Duplo,22.0,29.99,85.0
Squidman Escape,2009,Space,42.0,5.99,18.5242
Freeze Ray Frenzy,2009,Space,80.0,9.99,50.0
Gold Heist,2009,Space,205.0,19.99,46.44
Container Heist,2009,Space,282.0,29.99,80.0
Hyperspeed Pursuit,2009,Space,456.0,49.99,142.0
Galactic Enforcer,2009,Space,825.0,99.99,167.9755
Max Security Transport,2009,Space,330.0,39.99,135.0
Squidman's Pitstop,2009,Space,389.0,49.99,98.0
Fire Fighter Building Set,2009,Bricks and More,117.0,9.99,10.0
Pirate Building Set,2009,Bricks and More,150.0,9.99,19.99
Castle Building Set,2009,Bricks and More,137.0,9.99,17.0
Cannon Battle,2009,Pirates,45.0,5.99,29.98
Kraken Attackin',2009,Pirates,78.0,9.99,40.0
Loot Island,2009,Pirates,142.0,19.99,125.0
Soldiers' Fort,2009,Pirates,367.0,49.99,280.0
Brickbeard's Bounty,2009,Pirates,592.0,99.99,330.8699
Shipwreck Hideout,2009,Pirates,310.0,39.99,188.0
Mini Off-Roader,2009,Creator,64.0,5.99,10.4518
Fire Rescue,2009,Creator,771.0,59.99,119.99
Highway Transport,2009,Creator,1294.0,89.99,149.3116
Family Home,2009,Creator,976.0,59.99,155.0
King's Battle Chariot,2009,Castle,103.0,19.99,72.4974
Drawbridge Defense,2009,Castle,335.0,39.99,252.0
Trolls' Mountain Fortress,2009,Castle,844.0,99.99,299.1902
Ambush In Cairo,2009,Indiana Jones,79.0,10.99,105.0
Chauchilla Cemetery Battle,2009,Indiana Jones,187.0,19.99,139.95
Venice Canal Chase,2009,Indiana Jones,420.0,39.99,183.8166
Fighter Plane Attack,2009,Indiana Jones,384.0,49.99,282.5
The Temple of Doom,2009,Indiana Jones,652.0,89.99,540.0
Crawler Crane,2009,City,481.0,59.99,100.9254
4WD with Horse Trailer,2009,City,176.0,17.48,63.0
Combine Harvester,2009,City,360.0,44.99,261.2953
Farm,2009,City,609.0,89.99,300.0
Camper,2009,City,165.0,16.99,40.0
City Corner,2009,City,483.0,59.99,99.0
Shanghai Chase,2009,Indiana Jones,244.0,29.99,199.0
Fight on the Flying Wing,2009,Indiana Jones,376.0,49.99,329.95
Dozer,2009,City,352.0,39.99,71.3564
City Advent Calendar,2009,City,257.0,29.99,45.0
Single-Drum Roller,2009,City,208.0,29.99,48.085
Wind Turbine Transport,2009,City,444.0,59.99,116.7003
Corporate Alliance Tank Droid,2009,Star Wars,216.0,24.99,105.0
Echo Base,2009,Star Wars,155.0,24.99,63.5875
Ahsoka's Starfighter and Vulture Droid,2009,Star Wars,291.0,39.99,238.0
Count Dooku's Solar Sailer,2009,Star Wars,385.0,54.99,290.0
Pirate Tank,2009,Star Wars,372.0,39.99,104.5181
Home One Mon Calamari Star Cruiser,2009,Star Wars,789.0,109.99,170.0
Midi-scale Millennium Falcon,2009,Star Wars,356.0,39.99,159.95
Clone Walker Battle Pack,2009,Star Wars,72.0,11.99,75.0
Assassin Droids Battle Pack,2009,Star Wars,94.0,11.99,39.5
Hyena Droid Bomber,2009,Star Wars,232.0,19.99,110.0
Darth Vader's TIE Fighter,2009,Star Wars,251.0,29.99,249.98
Armored Assault Tank (AAT),2009,Star Wars,407.0,49.99,168.0
Republic Attack Shuttle,2009,Star Wars,636.0,59.99,374.95
Separatist Shuttle,2009,Star Wars,259.0,29.99,95.0
Anakin's Y-wing Starfighter,2009,Star Wars,570.0,59.99,275.0
The Battle of Endor,2009,Star Wars,890.0,99.99,260.0
Venator-Class Republic Attack Cruiser,2009,Star Wars,1170.0,119.99,700.0
Tractor with Trailer,2009,Technic,1100.0,99.99,188.88
Thunder Racer,2009,Racers,48.0,4.99,10.0
Rally Sprinter,2009,Racers,47.0,4.99,20.0
Track Marshall,2009,Racers,48.0,4.99,15.0
Desert Viper,2009,Racers,41.0,4.99,16.0
Ferrari F1 Racers,2009,Racers,139.0,14.99,44.99
Thunder Raceway,2009,Racers,160.0,14.99,24.99
Desert Challenge,2009,Racers,144.0,14.99,11.953
Race Rig,2009,Racers,104.0,12.99,10.0
Ferrari Victory,2009,Racers,202.0,19.99,125.0
Street Extreme,2009,Racers,757.0,69.99,157.0
Crane Truck,2009,Technic,1877.0,149.99,480.0
Mini Bulldozer,2009,Technic,165.0,9.99,24.5
Hauler,2009,Technic,575.0,69.99,127.5539
Front Loader,2009,Technic,1061.0,79.99,175.0
Soldier's Arsenal,2009,Pirates,17.0,3.49,14.8087
Pirate Survival,2009,Pirates,16.0,3.49,18.0
BBQ Stand,2009,City,22.0,3.49,11.0
K-9 Bot,2009,Space,22.0,3.49,12.967
Space Speeder,2009,Space,14.0,3.49,9.6326
City Minifigure Collection,2009,City,60.0,9.99,15.0
Sports Car,2009,City,68.0,9.99,9.0
Underground Mining Station,2009,Power Miners,637.0,79.99,293.0166
Train Motor,2009,Power Functions,7.0,10.99,15.0
Flexible Train Tracks,2009,City,64.0,24.99,40.0
Polarity Switch,2009,Power Functions,1.0,5.79,27.86
Light Set,2009,Power Functions,1.0,6.49,18.5601
Extension Cable (50cm),2009,Power Functions,1.0,3.99,17.99
Rechargeable Battery Box,2009,Power Functions,1.0,49.99,150.0
IR Speed Remote Control,2009,Power Functions,1.0,12.99,44.99
Transformer 10V DC,2009,Power Functions,1.0,29.99,32.12
Stone Chopper,2009,Power Miners,31.0,5.99,30.0
Mine Mech,2009,Power Miners,67.0,7.99,45.0
Claw Digger,2009,Power Miners,197.0,19.99,90.0
Thunder Driller,2009,Power Miners,235.0,29.99,200.0
Crystal Sweeper,2009,Power Miners,474.0,69.99,260.0
Crystal King,2009,Power Miners,168.0,19.99,129.98
Titanium Command Rig,2009,Power Miners,706.0,99.99,410.0
Gold Tooth's Getaway,2009,Agents,68.0,9.99,24.99
River Heist,2009,Agents,203.0,19.99,41.0
Robo Attack,2009,Agents,414.0,49.99,110.0
Aerial Defense Unit,2009,Agents,733.0,79.99,175.0
Berix,2009,Bionicle,15.0,6.99,33.0
Metus,2009,Bionicle,14.0,6.99,20.0
Zesk,2009,Bionicle,16.0,6.99,40.0
Ackar,2009,Bionicle,55.0,12.99,70.0
Mata Nui,2009,Bionicle,52.0,12.99,100.0
Cendox V1,2009,Bionicle,151.0,19.99,70.0
Kaxium V3,2009,Bionicle,251.0,29.99,85.0
Baranus V7,2009,Bionicle,263.0,39.99,150.0
Thornatus V9,2009,Bionicle,438.0,59.99,190.0
Skopio XV-1,2009,Bionicle,849.0,89.99,266.6258
Medieval Market Village,2009,Castle,1601.0,99.99,419.99
Emerald Night,2009,Advanced models,1085.0,99.99,743.2448
Republic Dropship with AT-OT Walker,2009,Star Wars,1758.0,249.99,1439.5109
Grand Carousel,2009,Advanced models,3263.0,249.99,2380.7918
Fire Brigade,2009,Advanced models,2231.0,149.99,723.0887
Tantive IV,2009,Star Wars,1408.0,149.99,379.95
Winter Village Toy Shop,2009,Advanced models,815.0,59.99,220.2346
Intelligent NXT Brick (Black),2009,Mindstorms,1.0,169.99,180.0
Empire State Building,2009,Architecture,77.0,19.99,49.99
Seattle Space Needle,2009,Architecture,57.0,19.99,98.0426
Solomon Guggenheim Museum,2009,Architecture,208.0,39.99,104.6844
Fallingwater,2009,Architecture,811.0,99.99,409.9
Snowman,2009,Seasonal,44.0,4.99,20.14
Vintage Minifigure Collection Vol. 2,2009,Miscellaneous,24.0,17.99,100.0
Vintage Minifigure Collection Vol. 3,2009,Miscellaneous,22.0,17.99,98.58
Troll Warrior Battle Pack,2009,Castle,36.0,14.99,67.99
Vintage Minifigure Collection Vol. 4,2009,Miscellaneous,41.0,17.99,68.98
Small Car,2010,City,43.0,4.99,27.99
Seaplane,2010,City,102.0,10.99,25.0
Repair Truck,2010,City,118.0,12.99,36.616
Tank Truck,2010,City,222.0,19.99,149.98
Passenger Plane,2010,City,309.0,39.99,140.0
LEGO City Truck,2010,City,278.0,34.99,299.98
Helicopter and Limousine,2010,City,267.0,29.99,75.0
Shave A Sheep,2010,Games,118.0,9.99,14.956
Magma Monster,2010,Games,95.0,14.99,9.592
Pirate Plank,2010,Games,122.0,14.99,26.95
Orient Bazaar,2010,Games,204.0,19.99,25.872
Meteor Strike,2010,Games,185.0,19.99,16.0
Harry Potter Hogwarts,2010,Games,332.0,34.99,55.0
Freeing Dobby,2010,Harry Potter,73.0,10.99,20.0
Hagrid's Hut,2010,Harry Potter,442.0,39.99,70.9881
The Burrow,2010,Harry Potter,568.0,59.99,218.0
Hogwarts Express,2010,Harry Potter,646.0,79.99,180.0
Hogwarts Castle,2010,Harry Potter,1290.0,129.99,220.0
Little Piggy,2010,Duplo,4.0,4.99,3.7328
Pizza Planet Truck,2010,Duplo,13.0,19.99,34.993
Flo's V-8 Cafe,2010,Duplo,32.0,29.99,133.0
Mack's Road Trip,2010,Duplo,34.0,49.99,183.9996
Mini Helicopter,2010,Creator,52.0,5.99,9.98
Mini Dumper,2010,Creator,60.0,5.99,6.154
Super Speedster,2010,Creator,278.0,19.99,22.5
Apple Tree House,2010,Creator,539.0,44.99,119.99
Sonic Boom,2010,Creator,539.0,59.99,125.0
Off-Road Power,2010,Creator,1061.0,89.99,100.7853
Raid VPR,2010,Space,69.0,9.99,38.0
Smash 'n' Grab,2010,Space,188.0,19.99,36.5
Undercover Cruiser,2010,Space,317.0,29.99,69.98
Lunar Limo,2010,Space,391.0,39.99,162.0
Space Police Central,2010,Space,631.0,79.99,299.98
Gresh,2010,Bionicle,19.0,7.99,43.0
Takanuva,2010,Bionicle,21.0,7.99,40.0
Skrall,2010,Bionicle,21.0,7.99,22.0
Piraka,2010,Bionicle,15.0,7.99,22.0
Von Nebula,2010,HERO Factory,156.0,19.99,50.0
XPlode,2010,HERO Factory,45.0,12.99,36.7425
Rotor,2010,HERO Factory,145.0,19.99,50.0
Natalie Breez,2010,HERO Factory,19.0,7.99,18.7493
Duncan Bulk,2010,HERO Factory,17.0,7.99,24.99
Jimi Stringer,2010,HERO Factory,17.0,7.99,24.99
Fire Helicopter,2010,City,342.0,39.99,65.0
Fire Boat,2010,City,306.0,49.99,104.7324
Fire Station,2010,City,662.0,79.99,124.99
Off-Road Fire Truck & Fireboat,2010,City,388.0,39.99,85.1499
Farmer,2010,City,16.0,3.99,12.0
Traveller,2010,City,21.0,3.99,8.8264
Desert Attack,2010,Prince of Persia,57.0,10.99,22.0
The Ostrich Race,2010,Prince of Persia,169.0,19.99,38.0
The Fight for the Dagger,2010,Prince of Persia,258.0,29.99,64.95
Quest Against Time,2010,Prince of Persia,506.0,49.99,60.0
Battle of Alamut,2010,Prince of Persia,821.0,79.99,170.0
Woody and Buzz to the Rescue,2010,Toy Story,92.0,19.99,59.99
Construct-a-Zurg,2010,Toy Story,118.0,24.99,38.88
Construct-a-Buzz,2010,Toy Story,205.0,24.99,60.0
Buzz's Star Command Spaceship,2010,Toy Story,257.0,29.99,70.6822
Woody's Roundup!,2010,Toy Story,502.0,49.99,150.0
Army Men on Patrol,2010,Toy Story,90.0,10.99,46.0
